_id,idx,vervar,var,turvar,tahun,turtahun,nilai
1419,1418,Perancis,Neraca Perdagangan beberapa Negara,Impor,2008,,715783
1420,1419,Perancis,Neraca Perdagangan beberapa Negara,Impor,2009,,560484
1421,1420,Perancis,Neraca Perdagangan beberapa Negara,Impor,2010,,608652
1422,1421,Perancis,Neraca Perdagangan beberapa Negara,Impor,2011,,712895
1423,1422,Perancis,Neraca Perdagangan beberapa Negara,Impor,2012,,666715
1424,1423,Perancis,Neraca Perdagangan beberapa Negara,Impor,2013,,671257
1425,1424,Perancis,Neraca Perdagangan beberapa Negara,Impor,2014,,660293
1426,1425,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2000,,10947
1427,1426,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2001,,4826
1428,1427,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2002,,154
1429,1428,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2003,,4745
1430,1429,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2004,,17947
1431,1430,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2005,,46116
1432,1431,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2006,,55803
1433,1432,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2007,,80989
1434,1433,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2008,,106840
1435,1434,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2009,,84393
1436,1435,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2010,,91697
1437,1436,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2011,,127582
1438,1437,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2012,,108254
1439,1438,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2013,,103270
1440,1439,Perancis,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2014,,89059
1441,1440,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2000,,137806
1442,1441,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2001,,121755
1443,1442,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2002,,125177
1444,1443,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2003,,144183
1445,1444,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2004,,198633
1446,1445,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2005,,229652
1447,1446,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2006,,271809
1448,1447,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2007,,299270
1449,1448,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2008,,338176
1450,1449,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2009,,269832
1451,1450,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2010,,351867
1452,1451,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2011,,409503
1453,1452,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2012,,408393
1454,1453,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2013,,410250
1455,1454,Singapura,Neraca Perdagangan beberapa Negara,Ekspor,2014,,409769
1456,1455,Singapura,Neraca Perdagangan beberapa Negara,Impor,2000,,134546
1457,1456,Singapura,Neraca Perdagangan beberapa Negara,Impor,2001,,116004
1458,1457,Singapura,Neraca Perdagangan beberapa Negara,Impor,2002,,116441
1459,1458,Singapura,Neraca Perdagangan beberapa Negara,Impor,2003,,127935
1460,1459,Singapura,Neraca Perdagangan beberapa Negara,Impor,2004,,163851
1461,1460,Singapura,Neraca Perdagangan beberapa Negara,Impor,2005,,200050
1462,1461,Singapura,Neraca Perdagangan beberapa Negara,Impor,2006,,238711
1463,1462,Singapura,Neraca Perdagangan beberapa Negara,Impor,2007,,263155
1464,1463,Singapura,Neraca Perdagangan beberapa Negara,Impor,2008,,319781
1465,1464,Singapura,Neraca Perdagangan beberapa Negara,Impor,2009,,245785
1466,1465,Singapura,Neraca Perdagangan beberapa Negara,Impor,2010,,310791
1467,1466,Singapura,Neraca Perdagangan beberapa Negara,Impor,2011,,365770
1468,1467,Singapura,Neraca Perdagangan beberapa Negara,Impor,2012,,379723
1469,1468,Singapura,Neraca Perdagangan beberapa Negara,Impor,2013,,373016
1470,1469,Singapura,Neraca Perdagangan beberapa Negara,Impor,2014,,366247
1471,1470,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2000,,3259
1472,1471,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2001,,5752
1473,1472,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2002,,8736
1474,1473,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2003,,16248
1475,1474,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2004,,34782
1476,1475,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2005,,29602
1477,1476,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2006,,33098
1478,1477,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2007,,36115
1479,1478,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2008,,18396
1480,1479,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2009,,24048
1481,1480,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2010,,41076
1482,1481,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2011,,43733
1483,1482,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2012,,28670
1484,1483,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2013,,37234
1485,1484,Singapura,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2014,,43522
1486,1485,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2000,,
1487,1486,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2001,,
1488,1487,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2002,,
1489,1488,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2003,,
1490,1489,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2004,,5757
1491,1490,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2005,,6347
1492,1491,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2006,,6886
1493,1492,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2007,,7740
1494,1493,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2008,,8137
1495,1494,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2009,,7085
1496,1495,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2010,,8307
1497,1496,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2011,,10553
1498,1497,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2012,,9784
1499,1498,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2013,,10397
1500,1499,Sri Lanka,Neraca Perdagangan beberapa Negara,Ekspor,2014,,
1501,1500,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2000,,
1502,1501,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2001,,
1503,1502,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2002,,
1504,1503,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2003,,
1505,1504,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2004,,7973
1506,1505,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2005,,8833
1507,1506,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2006,,10259
1508,1507,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2007,,11301
1509,1508,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2008,,13953
1510,1509,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2009,,10049
1511,1510,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2010,,13512
1512,1511,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2011,,20268
1513,1512,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2012,,19102
1514,1513,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2013,,17973
1515,1514,Sri Lanka,Neraca Perdagangan beberapa Negara,Impor,2014,,
1516,1515,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2000,,
1517,1516,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2001,,
1518,1517,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2002,,
1519,1518,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2003,,
1520,1519,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2004,,2216
1521,1520,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2005,,2487
1522,1521,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2006,,3373
1523,1522,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2007,,3560
1524,1523,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2008,,5816
1525,1524,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2009,,2965
1526,1525,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2010,,5205
1527,1526,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2011,,9715
1528,1527,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2012,,9318
1529,1528,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2013,,7576
1530,1529,Sri Lanka,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2014,,
1531,1530,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2000,,86962
1532,1531,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2001,,75788
1533,1532,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2002,,82965
1534,1533,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2003,,102405
1535,1534,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2004,,123307
1536,1535,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2005,,130205
1537,1536,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2006,,147236
1538,1537,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2007,,168979
1539,1538,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2008,,183907
1540,1539,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2009,,131042
1541,1540,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2010,,158090
1542,1541,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2011,,187243
1543,1542,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2012,,172725
1544,1543,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2013,,167619
1545,1544,Swedia,Neraca Perdagangan beberapa Negara,Ekspor,2014,,162588
1546,1545,Swedia,Neraca Perdagangan beberapa Negara,Impor,2000,,72981
1547,1546,Swedia,Neraca Perdagangan beberapa Negara,Impor,2001,,63471
1548,1547,Swedia,Neraca Perdagangan beberapa Negara,Impor,2002,,67667
1549,1548,Swedia,Neraca Perdagangan beberapa Negara,Impor,2003,,84197
1550,1549,Swedia,Neraca Perdagangan beberapa Negara,Impor,2004,,100791
1551,1550,Swedia,Neraca Perdagangan beberapa Negara,Impor,2005,,111324
1552,1551,Swedia,Neraca Perdagangan beberapa Negara,Impor,2006,,126609
1553,1552,Swedia,Neraca Perdagangan beberapa Negara,Impor,2007,,153463
1554,1553,Swedia,Neraca Perdagangan beberapa Negara,Impor,2008,,168993
1555,1554,Swedia,Neraca Perdagangan beberapa Negara,Impor,2009,,120262
1556,1555,Swedia,Neraca Perdagangan beberapa Negara,Impor,2010,,148474
1557,1556,Swedia,Neraca Perdagangan beberapa Negara,Impor,2011,,174730
1558,1557,Swedia,Neraca Perdagangan beberapa Negara,Impor,2012,,164114
1559,1558,Swedia,Neraca Perdagangan beberapa Negara,Impor,2013,,159665
1560,1559,Swedia,Neraca Perdagangan beberapa Negara,Impor,2014,,159532
1561,1560,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2000,,13980
1562,1561,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2001,,12317
1563,1562,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2002,,15298
1564,1563,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2003,,18208
1565,1564,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2004,,22516
1566,1565,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2005,,18881
1567,1566,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2006,,20627
1568,1567,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2007,,15516
1569,1568,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2008,,14914
1570,1569,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2009,,10780
1571,1570,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2010,,9616
1572,1571,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2011,,12513
1573,1572,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2012,,8611
1574,1573,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2013,,7954
1575,1574,Swedia,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2014,,3056
1576,1575,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2000,,69057
1577,1576,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2001,,64919
1578,1577,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2002,,68108
1579,1578,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2003,,80324
1580,1579,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2004,,96248
1581,1580,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2005,,110178
1582,1581,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2006,,130795
1583,1582,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2007,,153858
1584,1583,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2008,,175897
1585,1584,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2009,,151910
1586,1585,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2010,,193366
1587,1586,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2011,,220221
1588,1587,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2012,,227883
1589,1588,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2013,,224863
1590,1589,Thailand,Neraca Perdagangan beberapa Negara,Ekspor,2014,,225239
1591,1590,Thailand,Neraca Perdagangan beberapa Negara,Impor,2000,,61924
1592,1591,Thailand,Neraca Perdagangan beberapa Negara,Impor,2001,,61961
1593,1592,Thailand,Neraca Perdagangan beberapa Negara,Impor,2002,,64645
1594,1593,Thailand,Neraca Perdagangan beberapa Negara,Impor,2003,,75824
1595,1594,Thailand,Neraca Perdagangan beberapa Negara,Impor,2004,,94410
1596,1595,Thailand,Neraca Perdagangan beberapa Negara,Impor,2005,,118158
1597,1596,Thailand,Neraca Perdagangan beberapa Negara,Impor,2006,,128654
1598,1597,Thailand,Neraca Perdagangan beberapa Negara,Impor,2007,,141294
1599,1598,Thailand,Neraca Perdagangan beberapa Negara,Impor,2008,,179168
1600,1599,Thailand,Neraca Perdagangan beberapa Negara,Impor,2009,,134734
1601,1600,Thailand,Neraca Perdagangan beberapa Negara,Impor,2010,,185121
1602,1601,Thailand,Neraca Perdagangan beberapa Negara,Impor,2011,,229137
1603,1602,Thailand,Neraca Perdagangan beberapa Negara,Impor,2012,,251464
1604,1603,Thailand,Neraca Perdagangan beberapa Negara,Impor,2013,,249652
1605,1604,Thailand,Neraca Perdagangan beberapa Negara,Impor,2014,,228200
1606,1605,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2000,,7133
1607,1606,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2001,,2959
1608,1607,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2002,,3463
1609,1608,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2003,,4499
1610,1609,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2004,,1838
1611,1610,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2005,,7980
1612,1611,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2006,,2142
1613,1612,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2007,,12563
1614,1613,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2008,,3270
1615,1614,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2009,,17176
1616,1615,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2010,,8245
1617,1616,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2011,,8916
1618,1617,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2012,,23581
1619,1618,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2013,,24789
1620,1619,Thailand,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2014,,2961
1621,1620,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2000,,
1622,1621,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2001,,
1623,1622,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2002,,
1624,1623,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2003,,
1625,1624,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2004,,33994
1626,1625,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2005,,51859
1627,1626,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2006,,59208
1628,1627,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2007,,69165
1629,1628,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2008,,95021
1630,1629,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2009,,57603
1631,1630,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2010,,65745
1632,1631,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2011,,92811
1633,1632,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2012,,97340
1634,1633,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2013,,86700
1635,1634,Venezuela,Neraca Perdagangan beberapa Negara,Ekspor,2014,,
1636,1635,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2000,,
1637,1636,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2001,,
1638,1637,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2002,,
1639,1638,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2003,,
1640,1639,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2004,,16679
1641,1640,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2005,,24027
1642,1641,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2006,,33615
1643,1642,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2007,,46097
1644,1643,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2008,,49602
1645,1644,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2009,,40597
1646,1645,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2010,,33815
1647,1646,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2011,,38346
1648,1647,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2012,,43501
1649,1648,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2013,,46363
1650,1649,Venezuela,Neraca Perdagangan beberapa Negara,Impor,2014,,
1651,1650,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2000,,
1652,1651,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2001,,
1653,1652,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2002,,
1654,1653,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2003,,
1655,1654,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2004,,17315
1656,1655,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2005,,27832
1657,1656,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2006,,25593
1658,1657,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2007,,23068
1659,1658,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2008,,45419
1660,1659,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2009,,17006
1661,1660,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2010,,31930
1662,1661,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2011,,54465
1663,1662,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2012,,53840
1664,1663,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2013,,40337
1665,1664,Venezuela,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2014,,
1666,1665,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2000,,
1667,1666,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2001,,
1668,1667,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2002,,
1669,1668,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2003,,
1670,1669,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2004,,26485
1671,1670,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2005,,32442
1672,1671,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2006,,39606
1673,1672,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2007,,48561
1674,1673,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2008,,62685
1675,1674,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2009,,57096
1676,1675,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2010,,71658
1677,1676,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2011,,94518
1678,1677,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2012,,115458
1679,1678,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2013,,132478
1680,1679,Vietnam,Neraca Perdagangan beberapa Negara,Ekspor,2014,,149565
1681,1680,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2000,,
1682,1681,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2001,,
1683,1682,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2002,,
1684,1683,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2003,,
1685,1684,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2004,,31969
1686,1685,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2005,,36978
1687,1686,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2006,,44410
1688,1687,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2007,,62682
1689,1688,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2008,,80714
1690,1689,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2009,,69949
1691,1690,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2010,,83779
1692,1691,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2011,,104041
1693,1692,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2012,,115101
1694,1693,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2013,,131260
1695,1694,Vietnam,Neraca Perdagangan beberapa Negara,Impor,2014,,148770
1696,1695,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2000,,
1697,1696,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2001,,
1698,1697,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2002,,
1699,1698,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2003,,
1700,1699,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2004,,5484
1701,1700,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2005,,4536
1702,1701,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2006,,4805
1703,1702,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2007,,14121
1704,1703,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2008,,18029
1705,1704,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2009,,12853
1706,1705,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2010,,12121
1707,1706,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2011,,9523
1708,1707,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2012,,357
1709,1708,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2013,,1218
1710,1709,Vietnam,Neraca Perdagangan beberapa Negara,Neraca Perdagangan,2014,,795
